UserID,Age,AgeGroup,Gender,GenderEncoded,AgeGroupEncoded,Cluster,Segment
U00061,32,31-40,Female,1,2,3,Adult Male Learners
U00062,28,21-30,Female,1,1,0,Young Female Learners
U00063,34,31-40,Female,1,2,3,Adult Male Learners
U00064,33,31-40,Female,1,2,3,Adult Male Learners
U00065,29,21-30,Male,0,1,2,Adult Female Learners
U00066,26,21-30,Female,1,1,0,Young Female Learners
U00067,28,21-30,Female,1,1,0,Young Female Learners
U00068,32,31-40,Male,0,2,3,Adult Male Learners
U00069,27,21-30,Female,1,1,0,Young Female Learners
U00070,25,21-30,Female,1,1,0,Young Female Learners
U00071,30,21-30,Female,1,1,0,Young Female Learners
U00072,17,15-20,Female,1,0,1,Young Male Learners
U00073,16,15-20,Male,0,0,1,Young Male Learners
U00074,19,15-20,Male,0,0,1,Young Male Learners
U00075,22,21-30,Male,0,1,2,Adult Female Learners
U00076,34,31-40,Male,0,2,3,Adult Male Learners
U00077,20,15-20,Male,0,0,1,Young Male Learners
U00078,32,31-40,Female,1,2,3,Adult Male Learners
U00079,28,21-30,Male,0,1,2,Adult Female Learners
U00080,35,31-40,Female,1,2,3,Adult Male Learners
U00081,18,15-20,Female,1,0,1,Young Male Learners
U00082,31,31-40,Male,0,2,3,Adult Male Learners
U00083,16,15-20,Male,0,0,1,Young Male Learners
U00084,20,15-20,Male,0,0,1,Young Male Learners
U00085,22,21-30,Female,1,1,0,Young Female Learners
U00086,27,21-30,Female,1,1,0,Young Female Learners
U00087,19,15-20,Female,1,0,1,Young Male Learners
U00088,23,21-30,Male,0,1,2,Adult Female Learners
U00089,30,21-30,Male,0,1,2,Adult Female Learners
U00090,34,31-40,Male,0,2,3,Adult Male Learners
U00091,35,31-40,Male,0,2,3,Adult Male Learners
U00092,31,31-40,Male,0,2,3,Adult Male Learners
U00093,16,15-20,Male,0,0,1,Young Male Learners
U00094,27,21-30,Male,0,1,2,Adult Female Learners
U00095,20,15-20,Male,0,0,1,Young Male Learners
U00096,34,31-40,Female,1,2,3,Adult Male Learners
U00097,25,21-30,Male,0,1,2,Adult Female Learners
U00098,31,31-40,Male,0,2,3,Adult Male Learners
U00099,29,21-30,Female,1,1,0,Young Female Learners
U00100,32,31-40,Female,1,2,3,Adult Male Learners
U00101,15,15-20,Female,1,0,1,Young Male Learners
U00102,32,31-40,Male,0,2,3,Adult Male Learners
U00103,30,21-30,Female,1,1,0,Young Female Learners
U00104,19,15-20,Male,0,0,1,Young Male Learners
U00105,27,21-30,Male,0,1,2,Adult Female Learners
U00106,19,15-20,Male,0,0,1,Young Male Learners
U00107,18,15-20,Female,1,0,1,Young Male Learners
U00108,32,31-40,Male,0,2,3,Adult Male Learners
U00109,15,15-20,Female,1,0,1,Young Male Learners
U00110,26,21-30,Female,1,1,0,Young Female Learners
U00111,24,21-30,Male,0,1,2,Adult Female Learners
U00112,34,31-40,Female,1,2,3,Adult Male Learners
U00113,19,15-20,Male,0,0,1,Young Male Learners
U00114,22,21-30,Female,1,1,0,Young Female Learners
U00115,32,31-40,Female,1,2,3,Adult Male Learners
U00116,31,31-40,Male,0,2,3,Adult Male Learners
U00117,19,15-20,Female,1,0,1,Young Male Learners
U00118,28,21-30,Female,1,1,0,Young Female Learners
U00119,28,21-30,Male,0,1,2,Adult Female Learners
U00120,15,15-20,Male,0,0,1,Young Male Learners
U00121,27,21-30,Female,1,1,0,Young Female Learners
U00122,21,21-30,Female,1,1,0,Young Female Learners
U00123,18,15-20,Female,1,0,1,Young Male Learners
U00124,19,15-20,Female,1,0,1,Young Male Learners
U00125,35,31-40,Female,1,2,3,Adult Male Learners
U00126,23,21-30,Female,1,1,0,Young Female Learners
U00127,34,31-40,Female,1,2,3,Adult Male Learners
U00128,35,31-40,Female,1,2,3,Adult Male Learners
U00129,19,15-20,Male,0,0,1,Young Male Learners
U00130,17,15-20,Male,0,0,1,Young Male Learners
U00131,19,15-20,Male,0,0,1,Young Male Learners
U00132,22,21-30,Male,0,1,2,Adult Female Learners
U00133,21,21-30,Male,0,1,2,Adult Female Learners
U00134,26,21-30,Female,1,1,0,Young Female Learners
U00135,17,15-20,Female,1,0,1,Young Male Learners
U00136,25,21-30,Female,1,1,0,Young Female Learners
U00137,15,15-20,Female,1,0,1,Young Male Learners
U00138,26,21-30,Male,0,1,2,Adult Female Learners
U00139,16,15-20,Female,1,0,1,Young Male Learners
U00140,24,21-30,Female,1,1,0,Young Female Learners
U00141,20,15-20,Male,0,0,1,Young Male Learners
U00142,17,15-20,Female,1,0,1,Young Male Learners
U00143,26,21-30,Male,0,1,2,Adult Female Learners
U00144,24,21-30,Female,1,1,0,Young Female Learners
U00145,23,21-30,Female,1,1,0,Young Female Learners
U00146,30,21-30,Female,1,1,0,Young Female Learners
U00147,30,21-30,Male,0,1,2,Adult Female Learners
U00148,35,31-40,Female,1,2,3,Adult Male Learners
U00149,17,15-20,Female,1,0,1,Young Male Learners
U00150,25,21-30,Male,0,1,2,Adult Female Learners
U00151,16,15-20,Female,1,0,1,Young Male Learners
U00152,19,15-20,Female,1,0,1,Young Male Learners
U00153,35,31-40,Male,0,2,3,Adult Male Learners
U00154,29,21-30,Male,0,1,2,Adult Female Learners
U00155,27,21-30,Male,0,1,2,Adult Female Learners
U00156,17,15-20,Male,0,0,1,Young Male Learners
U00157,32,31-40,Female,1,2,3,Adult Male Learners
U00158,35,31-40,Female,1,2,3,Adult Male Learners
U00159,16,15-20,Male,0,0,1,Young Male Learners
U00160,28,21-30,Female,1,1,0,Young Female Learners
U00161,25,21-30,Female,1,1,0,Young Female Learners
U00162,26,21-30,Male,0,1,2,Adult Female Learners
U00163,32,31-40,Female,1,2,3,Adult Male Learners
U00164,32,31-40,Male,0,2,3,Adult Male Learners
U00165,30,21-30,Male,0,1,2,Adult Female Learners
U00166,33,31-40,Male,0,2,3,Adult Male Learners
U00167,31,31-40,Female,1,2,3,Adult Male Learners
U00168,24,21-30,Female,1,1,0,Young Female Learners
U00169,24,21-30,Male,0,1,2,Adult Female Learners
U00170,34,31-40,Female,1,2,3,Adult Male Learners
U00171,24,21-30,Male,0,1,2,Adult Female Learners
U00172,35,31-40,Female,1,2,3,Adult Male Learners
U00173,31,31-40,Male,0,2,3,Adult Male Learners
U00174,29,21-30,Male,0,1,2,Adult Female Learners
U00175,32,31-40,Female,1,2,3,Adult Male Learners
U00176,34,31-40,Male,0,2,3,Adult Male Learners
U00177,29,21-30,Female,1,1,0,Young Female Learners
U00178,20,15-20,Male,0,0,1,Young Male Learners
U00179,34,31-40,Male,0,2,3,Adult Male Learners
U00180,26,21-30,Female,1,1,0,Young Female Learners
U00181,32,31-40,Female,1,2,3,Adult Male Learners
U00182,28,21-30,Female,1,1,0,Young Female Learners
U00183,33,31-40,Male,0,2,3,Adult Male Learners
U00184,28,21-30,Male,0,1,2,Adult Female Learners
U00185,27,21-30,Male,0,1,2,Adult Female Learners
U00186,28,21-30,Female,1,1,0,Young Female Learners
U00187,18,15-20,Male,0,0,1,Young Male Learners
U00188,18,15-20,Male,0,0,1,Young Male Learners
U00189,18,15-20,Male,0,0,1,Young Male Learners
U00190,25,21-30,Female,1,1,0,Young Female Learners
U00191,34,31-40,Male,0,2,3,Adult Male Learners
U00192,17,15-20,Male,0,0,1,Young Male Learners
U00193,33,31-40,Male,0,2,3,Adult Male Learners
U00194,35,31-40,Male,0,2,3,Adult Male Learners
U00195,15,15-20,Male,0,0,1,Young Male Learners
U00196,23,21-30,Female,1,1,0,Young Female Learners
U00197,35,31-40,Female,1,2,3,Adult Male Learners
U00198,30,21-30,Female,1,1,0,Young Female Learners
U00199,24,21-30,Female,1,1,0,Young Female Learners
U00200,32,31-40,Male,0,2,3,Adult Male Learners
U00201,16,15-20,Male,0,0,1,Young Male Learners
U00202,28,21-30,Female,1,1,0,Young Female Learners
U00203,25,21-30,Female,1,1,0,Young Female Learners
U00204,28,21-30,Female,1,1,0,Young Female Learners
U00205,32,31-40,Male,0,2,3,Adult Male Learners
U00206,19,15-20,Female,1,0,1,Young Male Learners
U00207,33,31-40,Male,0,2,3,Adult Male Learners
U00208,18,15-20,Female,1,0,1,Young Male Learners
U00209,26,21-30,Male,0,1,2,Adult Female Learners
U00210,30,21-30,Male,0,1,2,Adult Female Learners
U00211,22,21-30,Male,0,1,2,Adult Female Learners
U00212,30,21-30,Female,1,1,0,Young Female Learners
U00213,15,15-20,Male,0,0,1,Young Male Learners
U00214,24,21-30,Female,1,1,0,Young Female Learners
U00215,28,21-30,Male,0,1,2,Adult Female Learners
U00216,23,21-30,Male,0,1,2,Adult Female Learners
U00217,28,21-30,Male,0,1,2,Adult Female Learners
U00218,15,15-20,Female,1,0,1,Young Male Learners
U00219,23,21-30,Female,1,1,0,Young Female Learners
U00220,20,15-20,Male,0,0,1,Young Male Learners
U00221,27,21-30,Male,0,1,2,Adult Female Learners
U00222,28,21-30,Male,0,1,2,Adult Female Learners
U00223,35,31-40,Female,1,2,3,Adult Male Learners
U00224,15,15-20,Female,1,0,1,Young Male Learners
U00225,18,15-20,Male,0,0,1,Young Male Learners
U00226,34,31-40,Female,1,2,3,Adult Male Learners
U00227,23,21-30,Male,0,1,2,Adult Female Learners
U00228,18,15-20,Male,0,0,1,Young Male Learners
U00229,22,21-30,Male,0,1,2,Adult Female Learners
U00230,17,15-20,Female,1,0,1,Young Male Learners
U00231,16,15-20,Male,0,0,1,Young Male Learners
U00232,26,21-30,Female,1,1,0,Young Female Learners
U00233,32,31-40,Male,0,2,3,Adult Male Learners
U00234,32,31-40,Male,0,2,3,Adult Male Learners
U00235,34,31-40,Male,0,2,3,Adult Male Learners
U00236,25,21-30,Female,1,1,0,Young Female Learners
U00237,20,15-20,Male,0,0,1,Young Male Learners
U00238,24,21-30,Female,1,1,0,Young Female Learners
U00239,32,31-40,Female,1,2,3,Adult Male Learners
U00240,34,31-40,Female,1,2,3,Adult Male Learners
U00241,23,21-30,Female,1,1,0,Young Female Learners
U00242,27,21-30,Male,0,1,2,Adult Female Learners
U00243,24,21-30,Female,1,1,0,Young Female Learners
U00244,28,21-30,Male,0,1,2,Adult Female Learners
U00245,31,31-40,Female,1,2,3,Adult Male Learners
U00246,31,31-40,Male,0,2,3,Adult Male Learners
U00247,30,21-30,Female,1,1,0,Young Female Learners
U00248,17,15-20,Male,0,0,1,Young Male Learners
U00249,35,31-40,Female,1,2,3,Adult Male Learners
U00250,21,21-30,Male,0,1,2,Adult Female Learners
U00251,28,21-30,Female,1,1,0,Young Female Learners
U00252,29,21-30,Female,1,1,0,Young Female Learners
U00253,19,15-20,Male,0,0,1,Young Male Learners
U00254,19,15-20,Female,1,0,1,Young Male Learners
U00255,26,21-30,Female,1,1,0,Young Female Learners
U00256,35,31-40,Female,1,2,3,Adult Male Learners
U00257,29,21-30,Male,0,1,2,Adult Female Learners
U00258,19,15-20,Male,0,0,1,Young Male Learners
U00259,35,31-40,Male,0,2,3,Adult Male Learners
U00260,35,31-40,Male,0,2,3,Adult Male Learners
U00261,28,21-30,Female,1,1,0,Young Female Learners
U00262,24,21-30,Male,0,1,2,Adult Female Learners
U00263,15,15-20,Male,0,0,1,Young Male Learners
U00264,18,15-20,Female,1,0,1,Young Male Learners
U00265,15,15-20,Male,0,0,1,Young Male Learners
U00266,25,21-30,Female,1,1,0,Young Female Learners
U00267,34,31-40,Male,0,2,3,Adult Male Learners
U00268,29,21-30,Female,1,1,0,Young Female Learners
U00269,22,21-30,Female,1,1,0,Young Female Learners
U00270,23,21-30,Male,0,1,2,Adult Female Learners
U00271,15,15-20,Male,0,0,1,Young Male Learners
U00272,25,21-30,Male,0,1,2,Adult Female Learners
U00273,25,21-30,Female,1,1,0,Young Female Learners
U00274,32,31-40,Female,1,2,3,Adult Male Learners
U00275,28,21-30,Female,1,1,0,Young Female Learners
U00276,22,21-30,Female,1,1,0,Young Female Learners
U00277,21,21-30,Male,0,1,2,Adult Female Learners
U00278,27,21-30,Male,0,1,2,Adult Female Learners
U00279,24,21-30,Male,0,1,2,Adult Female Learners
U00280,15,15-20,Male,0,0,1,Young Male Learners
U00281,30,21-30,Female,1,1,0,Young Female Learners
U00282,19,15-20,Male,0,0,1,Young Male Learners
U00283,28,21-30,Male,0,1,2,Adult Female Learners
U00284,30,21-30,Male,0,1,2,Adult Female Learners
U00285,29,21-30,Female,1,1,0,Young Female Learners
U00286,24,21-30,Female,1,1,0,Young Female Learners
U00287,21,21-30,Female,1,1,0,Young Female Learners
U00288,35,31-40,Male,0,2,3,Adult Male Learners
U00289,17,15-20,Female,1,0,1,Young Male Learners
U00290,17,15-20,Female,1,0,1,Young Male Learners
U00291,16,15-20,Female,1,0,1,Young Male Learners
U00292,33,31-40,Male,0,2,3,Adult Male Learners
U00293,25,21-30,Female,1,1,0,Young Female Learners
U00294,21,21-30,Female,1,1,0,Young Female Learners
U00295,29,21-30,Male,0,1,2,Adult Female Learners
U00296,31,31-40,Female,1,2,3,Adult Male Learners
U00297,29,21-30,Male,0,1,2,Adult Female Learners
U00298,32,31-40,Male,0,2,3,Adult Male Learners
U00299,20,15-20,Female,1,0,1,Young Male Learners
U00300,26,21-30,Female,1,1,0,Young Female Learners
U00301,26,21-30,Male,0,1,2,Adult Female Learners
U00302,34,31-40,Female,1,2,3,Adult Male Learners
U00303,35,31-40,Male,0,2,3,Adult Male Learners
U00304,35,31-40,Male,0,2,3,Adult Male Learners
U00305,22,21-30,Male,0,1,2,Adult Female Learners
U00306,28,21-30,Male,0,1,2,Adult Female Learners
U00307,33,31-40,Female,1,2,3,Adult Male Learners
U00308,26,21-30,Male,0,1,2,Adult Female Learners
U00309,27,21-30,Male,0,1,2,Adult Female Learners
U00310,26,21-30,Female,1,1,0,Young Female Learners
U00311,18,15-20,Female,1,0,1,Young Male Learners
U00312,30,21-30,Female,1,1,0,Young Female Learners
U00313,29,21-30,Female,1,1,0,Young Female Learners
U00314,19,15-20,Female,1,0,1,Young Male Learners
U00315,31,31-40,Female,1,2,3,Adult Male Learners
U00316,19,15-20,Female,1,0,1,Young Male Learners
U00317,19,15-20,Male,0,0,1,Young Male Learners
U00318,20,15-20,Male,0,0,1,Young Male Learners
U00319,15,15-20,Female,1,0,1,Young Male Learners
U00320,29,21-30,Male,0,1,2,Adult Female Learners
U00321,28,21-30,Male,0,1,2,Adult Female Learners
U00322,23,21-30,Male,0,1,2,Adult Female Learners
U00323,21,21-30,Female,1,1,0,Young Female Learners
U00324,16,15-20,Male,0,0,1,Young Male Learners
U00325,26,21-30,Male,0,1,2,Adult Female Learners
U00326,25,21-30,Female,1,1,0,Young Female Learners
U00327,31,31-40,Female,1,2,3,Adult Male Learners
U00328,29,21-30,Female,1,1,0,Young Female Learners
U00329,20,15-20,Female,1,0,1,Young Male Learners
U00330,15,15-20,Female,1,0,1,Young Male Learners
U00331,17,15-20,Male,0,0,1,Young Male Learners
U00332,25,21-30,Male,0,1,2,Adult Female Learners
U00333,26,21-30,Female,1,1,0,Young Female Learners
U00334,24,21-30,Female,1,1,0,Young Female Learners
U00335,33,31-40,Female,1,2,3,Adult Male Learners
U00336,19,15-20,Male,0,0,1,Young Male Learners
U00337,29,21-30,Female,1,1,0,Young Female Learners
U00338,23,21-30,Female,1,1,0,Young Female Learners
U00339,29,21-30,Male,0,1,2,Adult Female Learners
U00340,30,21-30,Male,0,1,2,Adult Female Learners
U00341,24,21-30,Male,0,1,2,Adult Female Learners
U00342,26,21-30,Female,1,1,0,Young Female Learners
U00343,31,31-40,Male,0,2,3,Adult Male Learners
U00344,17,15-20,Male,0,0,1,Young Male Learners
U00345,16,15-20,Male,0,0,1,Young Male Learners
U00346,33,31-40,Female,1,2,3,Adult Male Learners
U00347,32,31-40,Female,1,2,3,Adult Male Learners
U00348,30,21-30,Female,1,1,0,Young Female Learners
U00349,28,21-30,Male,0,1,2,Adult Female Learners
U00350,17,15-20,Male,0,0,1,Young Male Learners
U00351,18,15-20,Female,1,0,1,Young Male Learners
U00352,28,21-30,Male,0,1,2,Adult Female Learners
U00353,34,31-40,Female,1,2,3,Adult Male Learners
U00354,35,31-40,Male,0,2,3,Adult Male Learners
U00355,15,15-20,Female,1,0,1,Young Male Learners
U00356,21,21-30,Female,1,1,0,Young Female Learners
U00357,15,15-20,Female,1,0,1,Young Male Learners
U00358,19,15-20,Male,0,0,1,Young Male Learners
U00359,29,21-30,Female,1,1,0,Young Female Learners
U00360,32,31-40,Male,0,2,3,Adult Male Learners
U00361,18,15-20,Female,1,0,1,Young Male Learners
U00362,16,15-20,Male,0,0,1,Young Male Learners
U00363,32,31-40,Female,1,2,3,Adult Male Learners
U00364,34,31-40,Male,0,2,3,Adult Male Learners
U00365,30,21-30,Female,1,1,0,Young Female Learners
U00366,28,21-30,Male,0,1,2,Adult Female Learners
U00367,21,21-30,Male,0,1,2,Adult Female Learners
U00368,26,21-30,Male,0,1,2,Adult Female Learners
U00369,19,15-20,Male,0,0,1,Young Male Learners
U00370,17,15-20,Male,0,0,1,Young Male Learners
U00371,17,15-20,Female,1,0,1,Young Male Learners
U00372,23,21-30,Male,0,1,2,Adult Female Learners
U00373,26,21-30,Female,1,1,0,Young Female Learners
U00374,28,21-30,Female,1,1,0,Young Female Learners
U00375,34,31-40,Female,1,2,3,Adult Male Learners
U00376,29,21-30,Male,0,1,2,Adult Female Learners
U00377,21,21-30,Female,1,1,0,Young Female Learners
U00378,21,21-30,Female,1,1,0,Young Female Learners
U00379,20,15-20,Male,0,0,1,Young Male Learners
U00380,23,21-30,Female,1,1,0,Young Female Learners
U00381,32,31-40,Male,0,2,3,Adult Male Learners
U00382,25,21-30,Male,0,1,2,Adult Female Learners
U00383,29,21-30,Female,1,1,0,Young Female Learners
U00384,32,31-40,Female,1,2,3,Adult Male Learners
U00385,20,15-20,Male,0,0,1,Young Male Learners
U00386,29,21-30,Female,1,1,0,Young Female Learners
U00387,29,21-30,Female,1,1,0,Young Female Learners
U00388,18,15-20,Male,0,0,1,Young Male Learners
U00389,27,21-30,Female,1,1,0,Young Female Learners
U00390,18,15-20,Female,1,0,1,Young Male Learners
U00391,19,15-20,Female,1,0,1,Young Male Learners
U00392,19,15-20,Female,1,0,1,Young Male Learners
U00393,30,21-30,Male,0,1,2,Adult Female Learners
U00394,30,21-30,Female,1,1,0,Young Female Learners
U00395,22,21-30,Female,1,1,0,Young Female Learners
U00396,30,21-30,Male,0,1,2,Adult Female Learners
U00397,16,15-20,Male,0,0,1,Young Male Learners
U00398,27,21-30,Female,1,1,0,Young Female Learners
U00399,31,31-40,Female,1,2,3,Adult Male Learners
U00400,23,21-30,Male,0,1,2,Adult Female Learners
U00401,21,21-30,Female,1,1,0,Young Female Learners
U00402,23,21-30,Male,0,1,2,Adult Female Learners
U00403,34,31-40,Female,1,2,3,Adult Male Learners
U00404,21,21-30,Female,1,1,0,Young Female Learners
U00405,24,21-30,Male,0,1,2,Adult Female Learners
U00406,33,31-40,Male,0,2,3,Adult Male Learners
U00407,23,21-30,Male,0,1,2,Adult Female Learners
U00408,19,15-20,Female,1,0,1,Young Male Learners
U00409,35,31-40,Male,0,2,3,Adult Male Learners
U00410,33,31-40,Male,0,2,3,Adult Male Learners
U00411,17,15-20,Female,1,0,1,Young Male Learners
U00412,24,21-30,Female,1,1,0,Young Female Learners
U00413,23,21-30,Male,0,1,2,Adult Female Learners
U00414,25,21-30,Male,0,1,2,Adult Female Learners
U00415,31,31-40,Female,1,2,3,Adult Male Learners
U00416,17,15-20,Female,1,0,1,Young Male Learners
U00417,32,31-40,Female,1,2,3,Adult Male Learners
U00418,23,21-30,Female,1,1,0,Young Female Learners
U00419,21,21-30,Female,1,1,0,Young Female Learners
U00420,24,21-30,Female,1,1,0,Young Female Learners
U00421,32,31-40,Male,0,2,3,Adult Male Learners
U00422,15,15-20,Female,1,0,1,Young Male Learners
U00423,27,21-30,Female,1,1,0,Young Female Learners
U00424,35,31-40,Male,0,2,3,Adult Male Learners
U00425,19,15-20,Male,0,0,1,Young Male Learners
U00426,21,21-30,Male,0,1,2,Adult Female Learners
U00427,29,21-30,Female,1,1,0,Young Female Learners
U00428,23,21-30,Male,0,1,2,Adult Female Learners
U00429,23,21-30,Female,1,1,0,Young Female Learners
U00430,27,21-30,Male,0,1,2,Adult Female Learners
U00431,15,15-20,Female,1,0,1,Young Male Learners
U00432,31,31-40,Male,0,2,3,Adult Male Learners
U00433,32,31-40,Female,1,2,3,Adult Male Learners
U00434,22,21-30,Male,0,1,2,Adult Female Learners
U00435,34,31-40,Female,1,2,3,Adult Male Learners
U00436,20,15-20,Female,1,0,1,Young Male Learners
U00437,28,21-30,Male,0,1,2,Adult Female Learners
U00438,21,21-30,Male,0,1,2,Adult Female Learners
U00439,31,31-40,Female,1,2,3,Adult Male Learners
U00440,20,15-20,Female,1,0,1,Young Male Learners
U00441,19,15-20,Male,0,0,1,Young Male Learners
U00442,21,21-30,Female,1,1,0,Young Female Learners
U00443,21,21-30,Female,1,1,0,Young Female Learners
U00444,15,15-20,Female,1,0,1,Young Male Learners
U00445,31,31-40,Female,1,2,3,Adult Male Learners
U00446,19,15-20,Female,1,0,1,Young Male Learners
U00447,23,21-30,Male,0,1,2,Adult Female Learners
U00448,27,21-30,Male,0,1,2,Adult Female Learners
U00449,33,31-40,Female,1,2,3,Adult Male Learners
U00450,20,15-20,Male,0,0,1,Young Male Learners
U00451,20,15-20,Male,0,0,1,Young Male Learners
U00452,23,21-30,Male,0,1,2,Adult Female Learners
U00453,20,15-20,Male,0,0,1,Young Male Learners
U00454,28,21-30,Female,1,1,0,Young Female Learners
U00455,19,15-20,Male,0,0,1,Young Male Learners
U00456,24,21-30,Female,1,1,0,Young Female Learners
U00457,34,31-40,Female,1,2,3,Adult Male Learners
U00458,31,31-40,Female,1,2,3,Adult Male Learners
U00459,22,21-30,Male,0,1,2,Adult Female Learners
U00460,24,21-30,Female,1,1,0,Young Female Learners
U00461,21,21-30,Female,1,1,0,Young Female Learners
U00462,30,21-30,Male,0,1,2,Adult Female Learners
U00463,18,15-20,Female,1,0,1,Young Male Learners
U00464,25,21-30,Male,0,1,2,Adult Female Learners
U00465,26,21-30,Male,0,1,2,Adult Female Learners
U00466,32,31-40,Female,1,2,3,Adult Male Learners
U00467,34,31-40,Male,0,2,3,Adult Male Learners
U00468,19,15-20,Female,1,0,1,Young Male Learners
U00469,20,15-20,Female,1,0,1,Young Male Learners
U00470,18,15-20,Female,1,0,1,Young Male Learners
U00471,31,31-40,Female,1,2,3,Adult Male Learners
U00472,22,21-30,Female,1,1,0,Young Female Learners
U00473,32,31-40,Female,1,2,3,Adult Male Learners
U00474,31,31-40,Male,0,2,3,Adult Male Learners
U00475,24,21-30,Male,0,1,2,Adult Female Learners
U00476,29,21-30,Female,1,1,0,Young Female Learners
U00477,19,15-20,Male,0,0,1,Young Male Learners
U00478,30,21-30,Male,0,1,2,Adult Female Learners
U00479,33,31-40,Male,0,2,3,Adult Male Learners
U00480,20,15-20,Female,1,0,1,Young Male Learners
U00481,32,31-40,Female,1,2,3,Adult Male Learners
U00482,33,31-40,Female,1,2,3,Adult Male Learners
U00483,22,21-30,Male,0,1,2,Adult Female Learners
U00484,16,15-20,Male,0,0,1,Young Male Learners
U00485,29,21-30,Female,1,1,0,Young Female Learners
U00486,21,21-30,Female,1,1,0,Young Female Learners
U00487,15,15-20,Female,1,0,1,Young Male Learners
U00488,20,15-20,Male,0,0,1,Young Male Learners
U00489,18,15-20,Male,0,0,1,Young Male Learners
U00490,33,31-40,Male,0,2,3,Adult Male Learners
U00491,20,15-20,Male,0,0,1,Young Male Learners
U00492,20,15-20,Female,1,0,1,Young Male Learners
U00493,30,21-30,Male,0,1,2,Adult Female Learners
U00494,26,21-30,Male,0,1,2,Adult Female Learners
U00495,35,31-40,Female,1,2,3,Adult Male Learners
U00496,29,21-30,Female,1,1,0,Young Female Learners
U00497,21,21-30,Female,1,1,0,Young Female Learners
U00498,20,15-20,Female,1,0,1,Young Male Learners
U00499,21,21-30,Male,0,1,2,Adult Female Learners
U00500,16,15-20,Female,1,0,1,Young Male Learners
U00501,26,21-30,Female,1,1,0,Young Female Learners
U00502,22,21-30,Female,1,1,0,Young Female Learners
U00503,15,15-20,Male,0,0,1,Young Male Learners
U00504,16,15-20,Male,0,0,1,Young Male Learners
U00505,17,15-20,Male,0,0,1,Young Male Learners
U00506,33,31-40,Female,1,2,3,Adult Male Learners
