UserID,Age,AgeGroup,Gender,GenderEncoded
U00086,27,21-30,Female,1
U00087,19,15-20,Female,1
U00088,23,21-30,Male,0
U00089,30,21-30,Male,0
U00090,34,31-40,Male,0
U00091,35,31-40,Male,0
U00092,31,31-40,Male,0
U00093,16,15-20,Male,0
U00094,27,21-30,Male,0
U00095,20,15-20,Male,0
U00096,34,31-40,Female,1
U00097,25,21-30,Male,0
U00098,31,31-40,Male,0
U00099,29,21-30,Female,1
U00100,32,31-40,Female,1
U00101,15,15-20,Female,1
U00102,32,31-40,Male,0
U00103,30,21-30,Female,1
U00104,19,15-20,Male,0
U00105,27,21-30,Male,0
U00106,19,15-20,Male,0
U00107,18,15-20,Female,1
U00108,32,31-40,Male,0
U00109,15,15-20,Female,1
U00110,26,21-30,Female,1
U00111,24,21-30,Male,0
U00112,34,31-40,Female,1
U00113,19,15-20,Male,0
U00114,22,21-30,Female,1
U00115,32,31-40,Female,1
U00116,31,31-40,Male,0
U00117,19,15-20,Female,1
U00118,28,21-30,Female,1
U00119,28,21-30,Male,0
U00120,15,15-20,Male,0
U00121,27,21-30,Female,1
U00122,21,21-30,Female,1
U00123,18,15-20,Female,1
U00124,19,15-20,Female,1
U00125,35,31-40,Female,1
U00126,23,21-30,Female,1
U00127,34,31-40,Female,1
U00128,35,31-40,Female,1
U00129,19,15-20,Male,0
U00130,17,15-20,Male,0
U00131,19,15-20,Male,0
U00132,22,21-30,Male,0
U00133,21,21-30,Male,0
U00134,26,21-30,Female,1
U00135,17,15-20,Female,1
U00136,25,21-30,Female,1
U00137,15,15-20,Female,1
U00138,26,21-30,Male,0
U00139,16,15-20,Female,1
U00140,24,21-30,Female,1
U00141,20,15-20,Male,0
U00142,17,15-20,Female,1
U00143,26,21-30,Male,0
U00144,24,21-30,Female,1
U00145,23,21-30,Female,1
U00146,30,21-30,Female,1
U00147,30,21-30,Male,0
U00148,35,31-40,Female,1
U00149,17,15-20,Female,1
U00150,25,21-30,Male,0
U00151,16,15-20,Female,1
U00152,19,15-20,Female,1
U00153,35,31-40,Male,0
U00154,29,21-30,Male,0
U00155,27,21-30,Male,0
U00156,17,15-20,Male,0
U00157,32,31-40,Female,1
U00158,35,31-40,Female,1
U00159,16,15-20,Male,0
U00160,28,21-30,Female,1
U00161,25,21-30,Female,1
U00162,26,21-30,Male,0
U00163,32,31-40,Female,1
U00164,32,31-40,Male,0
U00165,30,21-30,Male,0
U00166,33,31-40,Male,0
U00167,31,31-40,Female,1
U00168,24,21-30,Female,1
U00169,24,21-30,Male,0
U00170,34,31-40,Female,1
U00171,24,21-30,Male,0
U00172,35,31-40,Female,1
U00173,31,31-40,Male,0
U00174,29,21-30,Male,0
U00175,32,31-40,Female,1
U00176,34,31-40,Male,0
U00177,29,21-30,Female,1
U00178,20,15-20,Male,0
U00179,34,31-40,Male,0
U00180,26,21-30,Female,1
U00181,32,31-40,Female,1
U00182,28,21-30,Female,1
U00183,33,31-40,Male,0
U00184,28,21-30,Male,0
U00185,27,21-30,Male,0
U00186,28,21-30,Female,1
U00187,18,15-20,Male,0
U00188,18,15-20,Male,0
U00189,18,15-20,Male,0
U00190,25,21-30,Female,1
U00191,34,31-40,Male,0
U00192,17,15-20,Male,0
U00193,33,31-40,Male,0
U00194,35,31-40,Male,0
U00195,15,15-20,Male,0
U00196,23,21-30,Female,1
U00197,35,31-40,Female,1
U00198,30,21-30,Female,1
U00199,24,21-30,Female,1
U00200,32,31-40,Male,0
U00201,16,15-20,Male,0
U00202,28,21-30,Female,1
U00203,25,21-30,Female,1
U00204,28,21-30,Female,1
U00205,32,31-40,Male,0
U00206,19,15-20,Female,1
U00207,33,31-40,Male,0
U00208,18,15-20,Female,1
U00209,26,21-30,Male,0
U00210,30,21-30,Male,0
U00211,22,21-30,Male,0
U00212,30,21-30,Female,1
U00213,15,15-20,Male,0
U00214,24,21-30,Female,1
U00215,28,21-30,Male,0
U00216,23,21-30,Male,0
U00217,28,21-30,Male,0
U00218,15,15-20,Female,1
U00219,23,21-30,Female,1
U00220,20,15-20,Male,0
U00221,27,21-30,Male,0
U00222,28,21-30,Male,0
U00223,35,31-40,Female,1
U00224,15,15-20,Female,1
U00225,18,15-20,Male,0
U00226,34,31-40,Female,1
U00227,23,21-30,Male,0
U00228,18,15-20,Male,0
U00229,22,21-30,Male,0
U00230,17,15-20,Female,1
U00231,16,15-20,Male,0
U00232,26,21-30,Female,1
U00233,32,31-40,Male,0
U00234,32,31-40,Male,0
U00235,34,31-40,Male,0
U00236,25,21-30,Female,1
U00237,20,15-20,Male,0
U00238,24,21-30,Female,1
U00239,32,31-40,Female,1
U00240,34,31-40,Female,1
U00241,23,21-30,Female,1
U00242,27,21-30,Male,0
U00243,24,21-30,Female,1
U00244,28,21-30,Male,0
U00245,31,31-40,Female,1
U00246,31,31-40,Male,0
U00247,30,21-30,Female,1
U00248,17,15-20,Male,0
U00249,35,31-40,Female,1
U00250,21,21-30,Male,0
U00251,28,21-30,Female,1
U00252,29,21-30,Female,1
U00253,19,15-20,Male,0
U00254,19,15-20,Female,1
U00255,26,21-30,Female,1
U00256,35,31-40,Female,1
U00257,29,21-30,Male,0
U00258,19,15-20,Male,0
U00259,35,31-40,Male,0
U00260,35,31-40,Male,0
U00261,28,21-30,Female,1
U00262,24,21-30,Male,0
U00263,15,15-20,Male,0
U00264,18,15-20,Female,1
U00265,15,15-20,Male,0
U00266,25,21-30,Female,1
U00267,34,31-40,Male,0
U00268,29,21-30,Female,1
U00269,22,21-30,Female,1
U00270,23,21-30,Male,0
U00271,15,15-20,Male,0
U00272,25,21-30,Male,0
U00273,25,21-30,Female,1
U00274,32,31-40,Female,1
U00275,28,21-30,Female,1
U00276,22,21-30,Female,1
U00277,21,21-30,Male,0
U00278,27,21-30,Male,0
U00279,24,21-30,Male,0
U00280,15,15-20,Male,0
U00281,30,21-30,Female,1
U00282,19,15-20,Male,0
U00283,28,21-30,Male,0
U00284,30,21-30,Male,0
U00285,29,21-30,Female,1
U00286,24,21-30,Female,1
U00287,21,21-30,Female,1
U00288,35,31-40,Male,0
U00289,17,15-20,Female,1
U00290,17,15-20,Female,1
U00291,16,15-20,Female,1
U00292,33,31-40,Male,0
U00293,25,21-30,Female,1
U00294,21,21-30,Female,1
U00295,29,21-30,Male,0
U00296,31,31-40,Female,1
U00297,29,21-30,Male,0
U00298,32,31-40,Male,0
U00299,20,15-20,Female,1
U00300,26,21-30,Female,1
U00301,26,21-30,Male,0
U00302,34,31-40,Female,1
U00303,35,31-40,Male,0
U00304,35,31-40,Male,0
U00305,22,21-30,Male,0
U00306,28,21-30,Male,0
U00307,33,31-40,Female,1
U00308,26,21-30,Male,0
U00309,27,21-30,Male,0
U00310,26,21-30,Female,1
U00311,18,15-20,Female,1
U00312,30,21-30,Female,1
U00313,29,21-30,Female,1
U00314,19,15-20,Female,1
U00315,31,31-40,Female,1
U00316,19,15-20,Female,1
U00317,19,15-20,Male,0
U00318,20,15-20,Male,0
U00319,15,15-20,Female,1
U00320,29,21-30,Male,0
U00321,28,21-30,Male,0
U00322,23,21-30,Male,0
U00323,21,21-30,Female,1
U00324,16,15-20,Male,0
U00325,26,21-30,Male,0
U00326,25,21-30,Female,1
U00327,31,31-40,Female,1
U00328,29,21-30,Female,1
U00329,20,15-20,Female,1
U00330,15,15-20,Female,1
U00331,17,15-20,Male,0
U00332,25,21-30,Male,0
U00333,26,21-30,Female,1
U00334,24,21-30,Female,1
U00335,33,31-40,Female,1
U00336,19,15-20,Male,0
U00337,29,21-30,Female,1
U00338,23,21-30,Female,1
U00339,29,21-30,Male,0
U00340,30,21-30,Male,0
U00341,24,21-30,Male,0
U00342,26,21-30,Female,1
U00343,31,31-40,Male,0
U00344,17,15-20,Male,0
U00345,16,15-20,Male,0
U00346,33,31-40,Female,1
U00347,32,31-40,Female,1
U00348,30,21-30,Female,1
U00349,28,21-30,Male,0
U00350,17,15-20,Male,0
U00351,18,15-20,Female,1
U00352,28,21-30,Male,0
U00353,34,31-40,Female,1
U00354,35,31-40,Male,0
U00355,15,15-20,Female,1
U00356,21,21-30,Female,1
U00357,15,15-20,Female,1
U00358,19,15-20,Male,0
U00359,29,21-30,Female,1
U00360,32,31-40,Male,0
U00361,18,15-20,Female,1
U00362,16,15-20,Male,0
U00363,32,31-40,Female,1
U00364,34,31-40,Male,0
U00365,30,21-30,Female,1
U00366,28,21-30,Male,0
U00367,21,21-30,Male,0
U00368,26,21-30,Male,0
U00369,19,15-20,Male,0
U00370,17,15-20,Male,0
U00371,17,15-20,Female,1
U00372,23,21-30,Male,0
U00373,26,21-30,Female,1
U00374,28,21-30,Female,1
U00375,34,31-40,Female,1
U00376,29,21-30,Male,0
U00377,21,21-30,Female,1
U00378,21,21-30,Female,1
U00379,20,15-20,Male,0
U00380,23,21-30,Female,1
U00381,32,31-40,Male,0
U00382,25,21-30,Male,0
U00383,29,21-30,Female,1
U00384,32,31-40,Female,1
U00385,20,15-20,Male,0
U00386,29,21-30,Female,1
U00387,29,21-30,Female,1
U00388,18,15-20,Male,0
U00389,27,21-30,Female,1
U00390,18,15-20,Female,1
U00391,19,15-20,Female,1
U00392,19,15-20,Female,1
U00393,30,21-30,Male,0
U00394,30,21-30,Female,1
U00395,22,21-30,Female,1
U00396,30,21-30,Male,0
U00397,16,15-20,Male,0
U00398,27,21-30,Female,1
U00399,31,31-40,Female,1
U00400,23,21-30,Male,0
U00401,21,21-30,Female,1
U00402,23,21-30,Male,0
U00403,34,31-40,Female,1
U00404,21,21-30,Female,1
U00405,24,21-30,Male,0
U00406,33,31-40,Male,0
U00407,23,21-30,Male,0
U00408,19,15-20,Female,1
U00409,35,31-40,Male,0
U00410,33,31-40,Male,0
U00411,17,15-20,Female,1
U00412,24,21-30,Female,1
U00413,23,21-30,Male,0
U00414,25,21-30,Male,0
U00415,31,31-40,Female,1
U00416,17,15-20,Female,1
U00417,32,31-40,Female,1
U00418,23,21-30,Female,1
U00419,21,21-30,Female,1
U00420,24,21-30,Female,1
U00421,32,31-40,Male,0
U00422,15,15-20,Female,1
U00423,27,21-30,Female,1
U00424,35,31-40,Male,0
U00425,19,15-20,Male,0
U00426,21,21-30,Male,0
U00427,29,21-30,Female,1
U00428,23,21-30,Male,0
U00429,23,21-30,Female,1
U00430,27,21-30,Male,0
U00431,15,15-20,Female,1
U00432,31,31-40,Male,0
U00433,32,31-40,Female,1
U00434,22,21-30,Male,0
U00435,34,31-40,Female,1
U00436,20,15-20,Female,1
U00437,28,21-30,Male,0
U00438,21,21-30,Male,0
U00439,31,31-40,Female,1
U00440,20,15-20,Female,1
U00441,19,15-20,Male,0
U00442,21,21-30,Female,1
U00443,21,21-30,Female,1
U00444,15,15-20,Female,1
U00445,31,31-40,Female,1
U00446,19,15-20,Female,1
U00447,23,21-30,Male,0
U00448,27,21-30,Male,0
U00449,33,31-40,Female,1
U00450,20,15-20,Male,0
U00451,20,15-20,Male,0
U00452,23,21-30,Male,0
U00453,20,15-20,Male,0
U00454,28,21-30,Female,1
U00455,19,15-20,Male,0
U00456,24,21-30,Female,1
U00457,34,31-40,Female,1
U00458,31,31-40,Female,1
U00459,22,21-30,Male,0
U00460,24,21-30,Female,1
U00461,21,21-30,Female,1
U00462,30,21-30,Male,0
U00463,18,15-20,Female,1
U00464,25,21-30,Male,0
U00465,26,21-30,Male,0
U00466,32,31-40,Female,1
U00467,34,31-40,Male,0
U00468,19,15-20,Female,1
U00469,20,15-20,Female,1
U00470,18,15-20,Female,1
U00471,31,31-40,Female,1
U00472,22,21-30,Female,1
U00473,32,31-40,Female,1
U00474,31,31-40,Male,0
U00475,24,21-30,Male,0
U00476,29,21-30,Female,1
U00477,19,15-20,Male,0
U00478,30,21-30,Male,0
U00479,33,31-40,Male,0
U00480,20,15-20,Female,1
U00481,32,31-40,Female,1
U00482,33,31-40,Female,1
U00483,22,21-30,Male,0
U00484,16,15-20,Male,0
U00485,29,21-30,Female,1
U00486,21,21-30,Female,1
U00487,15,15-20,Female,1
U00488,20,15-20,Male,0
U00489,18,15-20,Male,0
U00490,33,31-40,Male,0
U00491,20,15-20,Male,0
U00492,20,15-20,Female,1
U00493,30,21-30,Male,0
U00494,26,21-30,Male,0
U00495,35,31-40,Female,1
U00496,29,21-30,Female,1
U00497,21,21-30,Female,1
U00498,20,15-20,Female,1
U00499,21,21-30,Male,0
U00500,16,15-20,Female,1
U00501,26,21-30,Female,1
U00502,22,21-30,Female,1
U00503,15,15-20,Male,0
U00504,16,15-20,Male,0
U00505,17,15-20,Male,0
U00506,33,31-40,Female,1
U00507,15,15-20,Male,0
U00508,28,21-30,Female,1
U00509,20,15-20,Female,1
U00510,15,15-20,Male,0
U00511,28,21-30,Male,0
U00512,22,21-30,Male,0
U00513,25,21-30,Male,0
U00514,30,21-30,Female,1
U00515,19,15-20,Female,1
U00516,33,31-40,Female,1
U00517,22,21-30,Female,1
U00518,20,15-20,Female,1
U00519,27,21-30,Female,1
U00520,29,21-30,Male,0
U00521,26,21-30,Female,1
U00522,21,21-30,Male,0
U00523,31,31-40,Male,0
U00524,24,21-30,Male,0
U00525,31,31-40,Male,0
U00526,24,21-30,Male,0
U00527,18,15-20,Male,0
U00528,26,21-30,Female,1
U00529,25,21-30,Male,0
U00530,35,31-40,Female,1
U00531,24,21-30,Male,0
U00532,15,15-20,Female,1
U00533,29,21-30,Male,0
U00534,27,21-30,Female,1
U00535,23,21-30,Male,0
U00536,35,31-40,Female,1
U00537,25,21-30,Female,1
U00538,20,15-20,Male,0
U00539,25,21-30,Male,0
U00540,15,15-20,Male,0
U00541,19,15-20,Male,0
U00542,32,31-40,Male,0
U00543,18,15-20,Female,1
U00544,30,21-30,Male,0
U00545,18,15-20,Female,1
U00546,25,21-30,Male,0
U00547,19,15-20,Female,1
U00548,32,31-40,Female,1
U00549,17,15-20,Female,1
U00550,17,15-20,Male,0
U00551,35,31-40,Male,0
U00552,30,21-30,Female,1
U00553,15,15-20,Male,0
U00554,18,15-20,Male,0
U00555,17,15-20,Female,1
U00556,25,21-30,Female,1
U00557,31,31-40,Male,0
U00558,32,31-40,Male,0
U00559,20,15-20,Male,0
U00560,32,31-40,Male,0
U00561,33,31-40,Male,0
U00562,23,21-30,Female,1
U00563,31,31-40,Female,1
U00564,15,15-20,Male,0
U00565,28,21-30,Male,0
U00566,31,31-40,Male,0
U00567,20,15-20,Male,0
U00568,16,15-20,Female,1
U00569,15,15-20,Female,1
U00570,27,21-30,Male,0
U00571,22,21-30,Female,1
U00572,32,31-40,Male,0
U00573,30,21-30,Male,0
U00574,33,31-40,Female,1
U00575,35,31-40,Male,0
U00576,16,15-20,Male,0
U00577,17,15-20,Female,1
U00578,26,21-30,Male,0
U00579,34,31-40,Male,0
U00580,24,21-30,Female,1
U00581,32,31-40,Female,1
U00582,26,21-30,Male,0
U00583,21,21-30,Female,1
U00584,31,31-40,Female,1
U00585,19,15-20,Female,1
U00586,21,21-30,Male,0
U00587,22,21-30,Female,1
U00588,24,21-30,Male,0
U00589,19,15-20,Female,1
U00590,19,15-20,Male,0
U00591,35,31-40,Male,0
U00592,18,15-20,Female,1
U00593,23,21-30,Male,0
U00594,20,15-20,Male,0
U00595,29,21-30,Male,0
U00596,26,21-30,Male,0
U00597,28,21-30,Female,1
U00598,28,21-30,Male,0
U00599,33,31-40,Male,0
U00600,21,21-30,Male,0
U00601,24,21-30,Male,0
U00602,25,21-30,Female,1
U00603,35,31-40,Male,0
U00604,30,21-30,Female,1
U00605,30,21-30,Female,1
U00606,33,31-40,Female,1
U00607,30,21-30,Male,0
U00608,31,31-40,Male,0
U00609,33,31-40,Female,1
U00610,19,15-20,Male,0
U00611,30,21-30,Male,0
U00612,23,21-30,Male,0
U00613,24,21-30,Male,0
U00614,23,21-30,Female,1
U00615,20,15-20,Male,0
U00616,19,15-20,Female,1
U00617,18,15-20,Female,1
U00618,22,21-30,Male,0
U00619,32,31-40,Female,1
U00620,30,21-30,Male,0
U00621,20,15-20,Male,0
U00622,28,21-30,Female,1
U00623,23,21-30,Female,1
U00624,34,31-40,Female,1
U00625,28,21-30,Male,0
U00626,19,15-20,Male,0
U00627,34,31-40,Female,1
U00628,32,31-40,Female,1
U00629,20,15-20,Female,1
U00630,17,15-20,Male,0
U00631,20,15-20,Male,0
U00632,26,21-30,Female,1
U00633,35,31-40,Female,1
U00634,15,15-20,Female,1
U00635,26,21-30,Female,1
U00636,21,21-30,Female,1
U00637,22,21-30,Female,1
U00638,19,15-20,Female,1
U00639,33,31-40,Female,1
U00640,31,31-40,Male,0
U00641,32,31-40,Male,0
U00642,17,15-20,Male,0
U00643,20,15-20,Female,1
U00644,20,15-20,Female,1
U00645,23,21-30,Female,1
U00646,29,21-30,Female,1
U00647,26,21-30,Female,1
U00648,19,15-20,Male,0
U00649,32,31-40,Male,0
U00650,26,21-30,Female,1
U00651,29,21-30,Male,0
U00652,16,15-20,Female,1
U00653,15,15-20,Male,0
U00654,24,21-30,Male,0
U00655,33,31-40,Female,1
U00656,31,31-40,Male,0
U00657,23,21-30,Male,0
U00658,23,21-30,Female,1
U00659,33,31-40,Male,0
U00660,22,21-30,Male,0
U00661,23,21-30,Female,1
U00662,30,21-30,Female,1
U00663,35,31-40,Male,0
U00664,17,15-20,Male,0
U00665,35,31-40,Male,0
U00666,30,21-30,Female,1
U00667,18,15-20,Female,1
U00668,34,31-40,Female,1
U00669,20,15-20,Female,1
U00670,17,15-20,Male,0
U00671,18,15-20,Female,1
U00672,15,15-20,Male,0
U00673,24,21-30,Female,1
U00674,21,21-30,Male,0
U00675,20,15-20,Female,1
U00676,32,31-40,Male,0
U00677,35,31-40,Female,1
U00678,33,31-40,Female,1
U00679,28,21-30,Male,0
U00680,35,31-40,Female,1
U00681,32,31-40,Male,0
U00682,33,31-40,Male,0
U00683,20,15-20,Female,1
U00684,28,21-30,Female,1
U00685,29,21-30,Female,1
U00686,35,31-40,Female,1
U00687,29,21-30,Female,1
U00688,30,21-30,Female,1
U00689,19,15-20,Female,1
U00690,29,21-30,Female,1
U00691,16,15-20,Female,1
U00692,27,21-30,Male,0
U00693,35,31-40,Female,1
U00694,33,31-40,Female,1
U00695,31,31-40,Female,1
U00696,25,21-30,Male,0
U00697,32,31-40,Female,1
U00698,32,31-40,Female,1
U00699,20,15-20,Male,0
U00700,25,21-30,Male,0
U00701,32,31-40,Male,0
U00702,22,21-30,Female,1
U00703,32,31-40,Female,1
U00704,30,21-30,Male,0
U00705,15,15-20,Male,0
U00706,21,21-30,Male,0
U00707,29,21-30,Male,0
U00708,29,21-30,Female,1
U00709,23,21-30,Female,1
U00710,19,15-20,Male,0
U00711,27,21-30,Male,0
U00712,27,21-30,Female,1
U00713,17,15-20,Female,1
U00714,25,21-30,Male,0
U00715,25,21-30,Female,1
U00716,29,21-30,Male,0
U00717,34,31-40,Female,1
U00718,27,21-30,Female,1
U00719,25,21-30,Female,1
U00720,17,15-20,Female,1
U00721,20,15-20,Female,1
U00722,16,15-20,Female,1
U00723,35,31-40,Male,0
U00724,16,15-20,Female,1
U00725,28,21-30,Female,1
U00726,26,21-30,Female,1
U00727,33,31-40,Female,1
U00728,17,15-20,Male,0
U00729,30,21-30,Male,0
U00730,30,21-30,Male,0
U00731,16,15-20,Male,0
U00732,22,21-30,Male,0
U00733,28,21-30,Female,1
U00734,20,15-20,Male,0
U00735,17,15-20,Male,0
U00736,19,15-20,Female,1
U00737,18,15-20,Male,0
U00738,29,21-30,Female,1
U00739,25,21-30,Female,1
U00740,34,31-40,Female,1
U00741,33,31-40,Female,1
U00742,29,21-30,Male,0
U00743,19,15-20,Male,0
U00744,15,15-20,Male,0
U00745,29,21-30,Female,1
U00746,28,21-30,Male,0
U00747,28,21-30,Female,1
U00748,30,21-30,Female,1
U00749,18,15-20,Male,0
U00750,23,21-30,Female,1
U00751,19,15-20,Male,0
U00752,30,21-30,Male,0
U00753,28,21-30,Male,0
U00754,33,31-40,Male,0
U00755,31,31-40,Male,0
U00756,33,31-40,Female,1
U00757,22,21-30,Female,1
U00758,16,15-20,Male,0
U00759,22,21-30,Male,0
U00760,21,21-30,Female,1
U00761,31,31-40,Male,0
U00762,22,21-30,Female,1
U00763,16,15-20,Male,0
U00764,18,15-20,Male,0
U00765,31,31-40,Female,1
U00766,31,31-40,Female,1
U00767,16,15-20,Female,1
U00768,19,15-20,Male,0
U00769,16,15-20,Female,1
U00770,29,21-30,Male,0
U00771,18,15-20,Male,0
U00772,24,21-30,Female,1
U00773,25,21-30,Female,1
U00774,27,21-30,Male,0
U00775,29,21-30,Female,1
U00776,26,21-30,Female,1
U00777,29,21-30,Male,0
U00778,33,31-40,Male,0
U00779,24,21-30,Female,1
U00780,32,31-40,Female,1
U00781,18,15-20,Female,1
U00782,25,21-30,Male,0
U00783,35,31-40,Female,1
U00784,22,21-30,Female,1
U00785,17,15-20,Female,1
U00786,32,31-40,Female,1
U00787,29,21-30,Female,1
U00788,24,21-30,Male,0
U00789,17,15-20,Female,1
U00790,16,15-20,Female,1
U00791,34,31-40,Female,1
U00792,20,15-20,Male,0
U00793,19,15-20,Male,0
U00794,23,21-30,Female,1
U00795,34,31-40,Female,1
U00796,22,21-30,Female,1
U00797,20,15-20,Male,0
U00798,19,15-20,Female,1
U00799,26,21-30,Female,1
U00800,29,21-30,Female,1
U00801,32,31-40,Female,1
U00802,31,31-40,Male,0
U00803,26,21-30,Male,0
U00804,24,21-30,Female,1
U00805,18,15-20,Female,1
U00806,27,21-30,Male,0
U00807,35,31-40,Female,1
U00808,27,21-30,Female,1
U00809,24,21-30,Male,0
U00810,28,21-30,Male,0
U00811,25,21-30,Female,1
U00812,24,21-30,Female,1
U00813,33,31-40,Male,0
U00814,21,21-30,Female,1
U00815,17,15-20,Male,0
U00816,34,31-40,Male,0
U00817,35,31-40,Female,1
U00818,20,15-20,Female,1
U00819,28,21-30,Female,1
U00820,31,31-40,Female,1
U00821,23,21-30,Male,0
U00822,35,31-40,Female,1
U00823,22,21-30,Male,0
U00824,27,21-30,Male,0
U00825,26,21-30,Male,0
U00826,16,15-20,Male,0
U00827,26,21-30,Female,1
U00828,25,21-30,Male,0
U00829,22,21-30,Male,0
U00830,26,21-30,Female,1
U00831,18,15-20,Male,0
U00832,20,15-20,Female,1
U00833,32,31-40,Female,1
U00834,30,21-30,Male,0
U00835,33,31-40,Female,1
U00836,29,21-30,Female,1
U00837,28,21-30,Male,0
U00838,25,21-30,Female,1
U00839,33,31-40,Male,0
U00840,18,15-20,Male,0
U00841,29,21-30,Female,1
U00842,21,21-30,Female,1
U00843,21,21-30,Male,0
U00844,26,21-30,Male,0
U00845,25,21-30,Female,1
U00846,16,15-20,Male,0
U00847,23,21-30,Male,0
U00848,28,21-30,Male,0
U00849,20,15-20,Male,0
U00850,26,21-30,Male,0
U00851,21,21-30,Male,0
U00852,23,21-30,Male,0
U00853,24,21-30,Male,0
U00854,28,21-30,Male,0
U00855,15,15-20,Female,1
U00856,21,21-30,Female,1
U00857,15,15-20,Male,0
U00858,20,15-20,Male,0
U00859,22,21-30,Male,0
U00860,23,21-30,Female,1
U00861,22,21-30,Female,1
U00862,18,15-20,Female,1
U00863,23,21-30,Female,1
U00864,22,21-30,Female,1
U00865,27,21-30,Male,0
U00866,30,21-30,Male,0
U00867,30,21-30,Male,0
U00868,16,15-20,Female,1
U00869,19,15-20,Male,0
U00870,22,21-30,Male,0
U00871,26,21-30,Male,0
U00872,27,21-30,Male,0
U00873,28,21-30,Male,0
U00874,25,21-30,Male,0
U00875,23,21-30,Male,0
U00876,27,21-30,Male,0
U00877,35,31-40,Male,0
U00878,31,31-40,Male,0
U00879,18,15-20,Female,1
U00880,15,15-20,Male,0
U00881,34,31-40,Female,1
U00882,34,31-40,Female,1
U00883,27,21-30,Female,1
U00884,19,15-20,Male,0
U00885,28,21-30,Female,1
U00886,22,21-30,Female,1
U00887,17,15-20,Male,0
U00888,15,15-20,Male,0
U00889,31,31-40,Female,1
U00890,31,31-40,Female,1
U00891,28,21-30,Female,1
U00892,35,31-40,Male,0
U00893,15,15-20,Male,0
U00894,28,21-30,Female,1
U00895,15,15-20,Male,0
U00896,29,21-30,Female,1
U00897,20,15-20,Male,0
U00898,24,21-30,Female,1
U00899,19,15-20,Male,0
U00900,26,21-30,Female,1
U00901,23,21-30,Female,1
U00902,29,21-30,Male,0
U00903,29,21-30,Female,1
U00904,16,15-20,Female,1
U00905,15,15-20,Male,0
U00906,34,31-40,Female,1
U00907,23,21-30,Female,1
U00908,16,15-20,Female,1
U00909,35,31-40,Female,1
U00910,20,15-20,Female,1
U00911,15,15-20,Female,1
U00912,28,21-30,Male,0
U00913,35,31-40,Female,1
U00914,22,21-30,Male,0
U00915,24,21-30,Female,1
U00916,20,15-20,Male,0
U00917,28,21-30,Female,1
U00918,35,31-40,Male,0
U00919,28,21-30,Male,0
U00920,18,15-20,Female,1
U00921,26,21-30,Male,0
U00922,31,31-40,Female,1
U00923,29,21-30,Female,1
U00924,34,31-40,Male,0
U00925,31,31-40,Male,0
U00926,32,31-40,Male,0
U00927,26,21-30,Male,0
U00928,33,31-40,Female,1
U00929,25,21-30,Female,1
